"1772239-NGRAMS1.txt","Three Metaphors of Russian Formalism"
"1773079-NGRAMS1.txt","Paradigm Shift in Plot Models: An Outline of the History of Narratology"
"1773290-NGRAMS1.txt","When Is Metaphor? The Idea of Understanding in Theories of Metaphor"
"1773035-NGRAMS1.txt","Why Does the \"Jimmy Brown's Circus\" Travel?: A Semiotic Approach to the Analysis of Circus Ecology"
"1772040-NGRAMS1.txt","Literary Dynamics: How the Order of a Text Creates Its Meanings [With an Analysis of Faulkner's \"A Rose for Emily\"]"
"1772493-NGRAMS1.txt"," Le Systeme litteraire en etat de crise: Contacts inter-systémiques et comportement traductionnel"
"1773167-NGRAMS1.txt","A Case of Imported Identity: The Modernizing Secular Ruling Elites of Iraq and the Concept of Mesopotamian-Inspired Territorial Nationalism, 1922-1992"
"1772872-NGRAMS1.txt","Telling in Time (II): Chronology, Teleology, Narrativity"
"1772901-NGRAMS1.txt"," An Admirable and Ridiculous Hero: Some Notes on the Bedouin in Medieval Arabic Belles Lettres, on a Chapter of Adab by al-Râghib al-Iṣfahânî, and on a Literary Model in Which Admiration and Mockery Coexist"
"1773418-NGRAMS1.txt","Jean Renoir's Return to France"
"1773283-NGRAMS1.txt","Ethnic Segmentation, Western Education, and Political Outcomes: Nineteenth-Century Ottoman Society"
"1772469-NGRAMS1.txt","Semiotic Modalities of the Body in Modern Theater"
"1773297-NGRAMS1.txt","Poetics of the Homeric Simile and the Theory of (Poetic) Simile"
"1771995-NGRAMS1.txt","The Macro-Structure of the Conventional Narrative"
"1773168-NGRAMS1.txt"," Mahmud ʾAmin al-ʿAlim: Between Politics and Literary Criticism"
"1771935-NGRAMS1.txt","Towards a Theory of Space in Narrative"
"1773225-NGRAMS1.txt","Printout"
"1773356-NGRAMS1.txt","Simile and Figurative Language"
"1773026-NGRAMS1.txt","Making Primitive Art High Art"
"1772465-NGRAMS1.txt","Problems of a Semiology of Theatrical Gesture"
"1772240-NGRAMS1.txt"," Jan Mukařovský's Structural Poetics and Esthetics"
"1772468-NGRAMS1.txt","From Text to Performance: Semiotics of Theatrality"
"1773202-NGRAMS1.txt","The Rite to Be Reckless: On the Perpetration and Interpretation of Purim Violence"
"1773258-NGRAMS1.txt","Inventing Lacanian Psychoanalysis: Linguistics and Tropology in \"The Agency of the Letter\""
"1773331-NGRAMS1.txt","Foucault and the Study of Literature"
"1772388-NGRAMS1.txt","ABC of Contemporary Reading"
"1773140-NGRAMS1.txt","\"Il Pleut Doucement sur la ville\": The Rhythm of a Metaphor"
"1773165-NGRAMS1.txt","Readers and the Women's Press in Egypt"
"1773369-NGRAMS1.txt","(A)symmetry in Metaphor: The Importance of Extended Context"
"1773282-NGRAMS1.txt","Late Ottoman Concepts of Slavery (1830s-1880s)"
"1773122-NGRAMS1.txt","Scholastic Stasis in Medieval Islam Reconsidered: Mamluk Patronage in Cairo"
"1773277-NGRAMS1.txt","Analyzing Metaphor in Literature: With Examples from William Wordsworth's \"I Wandered Lonely as a Cloud\""
"1772810-NGRAMS1.txt","Narrative Reflexivity in Shakespeare"
"1772489-NGRAMS1.txt","Some Basic Aspects of Text Processing"
"1773166-NGRAMS1.txt","The Reader-\"Another Production\": The Reception of Haykal's Biography of Muhammad and the Shift of Egyptian Intellectuals to Islamic Subjects in the 1930s"
"1771963-NGRAMS1.txt","The Modal Structure of Narrative Universes"
"1771907-NGRAMS1.txt","Structural Geometric Patterns in Biblical Poetry"
"1771886-NGRAMS1.txt"," The Rhetoric of Difficult Fiction: Cortázar's \"Blow-Up\""
"1773110-NGRAMS1.txt","Judaism and Hellenism in 2 Maccabees"
"1772355-NGRAMS1.txt","Yeats' \"Sorrow of Love\" through the Years"
"1773385-NGRAMS1.txt","The \"Laokoon\" Today: Interart Relations, Modern Projects and Projections"
"1772762-NGRAMS1.txt","The King through Ironic Eyes: Biblical Narrative and the Literary Reading Process"
"1772043-NGRAMS1.txt","The Nature and Function of Literary Theories"
"1772494-NGRAMS1.txt"," Theorie de la litterature et theorie de la traduction en France (1800-1850): interprétées à partir de la théorie du polysystème"
"1772482-NGRAMS1.txt","Translated Literature: System, Norm, Performance: Toward a TT-Oriented Approach to Literary Translation"
"1773426-NGRAMS1.txt","Lawrence K. Frank, Knowledge, and the Production of the \"Social\""
"1772536-NGRAMS1.txt","The Evolution of National Culture in Modern Egypt: Intellectual Formation and Social Diffusion, 1892-1945"
"1773233-NGRAMS1.txt","Rhythm and Syntax in Verse: English Iambic Tetrameter and Dolnik Tetrameter (Nineteenth and Twentieth Centuries)"
"1773040-NGRAMS1.txt","Approach to Topoanalysis and to the Paradigmatics of Dramaturgic Space"
"1772623-NGRAMS1.txt","History's Many Cunning Passages: Paul Ricoeur's Time and Narrative"
"1773176-NGRAMS1.txt","Beyond \"Loose Lamb\": The Form and Themes of the English \"Dolnik\""
"1773381-NGRAMS1.txt","Dying between the Lines: Infinite Blindness in Lessing's \"Laokoon\" and Burke's \"Enquiry\""
"1772728-NGRAMS1.txt","Mimesis and Possible Worlds"
"1772905-NGRAMS1.txt","Empirical Research on Understanding Literature"
